id,name,location,latitude,longitude,utilization-time,price-per-day,phone-number,capacity,URL
1,下井草南自転車駐車場,東京都杉並区下井草２－３６－１６,35.72321808,139.6274369,24時間,100円,03-3397-8251,166,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/seibu/1007430.html
2,下井草北第一自転車駐車場,東京都杉並区井草１－１０－１７,35.72440422,139.6267382,24時間,100円,03-3397-8251,192,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/seibu/1007431.html
3,下井草北第二自転車駐車場,東京都杉並区井草１－２－４,35.72414396,139.6241455,24時間,100円,03-3395-9677,120,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/seibu/1007432.html
4,井荻南地下自転車駐車場,東京都杉並区上井草１－２４－１６,35.72421598,139.6142812,午前４時３０分～午前１時３０分,100円,03-5310-3966,688,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/seibu/1007433.html
5,井荻北地下自転車駐車場,東京都杉並区井草３－３－１０,35.72513454,139.6143446,午前４時３０分～午前１時３０分,100円,03-5310-3513,315,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/seibu/1007434.html
6,上井草北自転車駐車場,東京都杉並区井草５－６－１,35.72551742,139.6045048,24時間,100円,03-3399-9780,450,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/seibu/1007435.html
7,高円寺北自転車駐車場,東京都杉並区高円寺北３－２０－２３,35.70670261,139.6490462,午前４時～午前１時３０分,100円,03-3336-1530,2537,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007394.html
8,高円寺東高架下自転車駐車場,東京都杉並区高円寺南４－５０－２,35.7053659,139.652146,24時間,100円,03-3336-1530,443,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007393.html
9,阿佐ヶ谷東自転車駐車場,東京都杉並区阿佐谷南２－４１－１,35.70514159,139.6387558,24時間,100円,03-3223-0274,1782,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007395.html
10,阿佐ヶ谷西高架下自転車駐車場,東京都杉並区阿佐谷南３－５８－１,35.70471314,139.634773,24時間,100円,03-3223-0284,634,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007396.html
11,荻窪東地下自転車駐車場,東京都杉並区上荻１－２－１,35.70470066,139.6224965,午前４時１５分～午前１時３０分,100円,03-3393-7774,515,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007397.html
12,荻窪北第一自転車駐車場,東京都杉並区天沼３－３－１９,35.70576473,139.6211878,24時間,100円,03-3393-5887,933,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007399.html
13,荻窪北第二自転車駐車場,東京都杉並区天沼３－２－１３,35.70581798,139.6213806,24時間,100円,03-3393-5887,352,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007400.html
14,荻窪北第三自転車駐車場,東京都杉並区天沼３－３０－４０,35.70671622,139.6224901,24時間,100円,03-3393-2353,660,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007401.html
15,荻窪西第一自転車駐車場,東京都杉並区上荻１－２０－３,35.70553565,139.6174525,24時間,100円,03-3392-0514,1769,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007402.html
16,荻窪西第二自転車駐車場,東京都杉並区上荻１－２１－２５,35.7053208,139.6170718,24時間,100円,03-3392-0514,284,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007403.html
17,荻窪南第一自転車駐車場,東京都杉並区荻窪４－２１－１６,35.70319963,139.6225416,午前４時１５分～午前１時３０分,100円,03-3220-3002,2617,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007404.html
18,荻窪南第二自転車駐車場,東京都杉並区荻窪５－１５ー１３,35.70389198,139.6164893,午前４時１５分～午前１時３０分,100円,03-3391-2663,1075,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007405.html
19,西荻窪西自転車駐車場,東京都杉並区松庵３－４１－１,35.70382983,139.5977663,24時間,100円,03-3399-7040,1359,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/chuo/1007407.html
20,新高円寺地下自転車駐車場,東京都杉並区梅里１－７－２０,35.69728681,139.6493455,午前４時４５分～午前０時３０分,100円,03-3315-1200,1270,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/marunouchi/1007409.html
21,南阿佐ヶ谷第一自転車駐車場,東京都杉並区成田東４－３７－６,35.69849305,139.6369533,24時間,100円,03-3315-9960,278,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/marunouchi/1007410.html
22,南阿佐ヶ谷第二自転車駐車場,東京都杉並区阿佐谷南１－１５－１９,35.69975327,139.6367921,24時間,100円,03-3315-9975,110,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/marunouchi/1007411.html
23,中野富士見町自転車駐車場,東京都杉並区和田１－１－９,35.69032317,139.6655423,24時間,100円,03-3380-2552,188,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/marunouchi/1007414.html
24,方南町東自転車駐車場,東京都杉並区方南２－２０－２,35.68395482,139.6584312,24時間,100円,03-3317-7656,118,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/marunouchi/1007412.html
25,方南町西自転車駐車場,東京都杉並区和泉４－５１－７,35.68308178,139.6563616,24時間,100円,03-3317-7656,460,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/marunouchi/1007413.html
26,永福町南自転車駐車場,東京都杉並区永福２－５３－5,35.67578385,139.6422899,24時間,100円,03-3323-0255,130,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007415.html
27,永福町北第一自転車駐車場,東京都杉並区永福４－７－８,35.67768635,139.6428489,24時間,100円,03-3325-0092,295,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007416.html
28,永福町北第二自転車駐車場,東京都杉並区和泉３－１２－１５,35.67698326,139.6449213,24時間,100円,03-3325-9898,270,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007417.html
29,永福町北第三自転車駐車場,東京都杉並区和泉３－７－３,35.67585381,139.6452942,24時間,100円,03-3325-9898,315,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007418.html
30,浜田山南自転車駐車場,東京都杉並区浜田山２－２２－１２,35.68043929,139.6284997,24時間,100円,03-3312-7055,295,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007421.html
31,浜田山北第一自転車駐車場,東京都杉並区浜田山３－２４－１３,35.68187059,139.6288065,24時間,100円,03-3302-7225,235,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007419.html
32,浜田山北第二自転車駐車場,東京都杉並区浜田山３－２７－２１,35.68351749,139.6282388,24時間,100円,03-3312-7055,504,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007420.html
33,高井戸東自転車駐車場,東京都杉並区高井戸東２－３０－２５,35.68330255,139.6159953,24時間,100円,03-3247-0577,375,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007423.html
34,高井戸北自転車駐車場,東京都杉並区高井戸西２－２－１,35.68381442,139.6149881,午前４時２０分～午前１時２０分,100円,03-3333-7730,472,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007422.html
35,久我山西自転車駐車場,東京都杉並区久我山３－３５－２９,35.68816187,139.5985613,24時間,100円,03-3333-7208,1403,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007426.html
36,久我山南自転車駐車場,東京都杉並区久我山３－２５－６,35.6876571,139.5986168,24時間,定期使用専用,03-3333-7208,364,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007427.html
37,久我山北自転車駐車場,東京都杉並区久我山５－３８－１０,35.68948705,139.6005348,24時間,100円,03-3333-7208,333,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007428.html
38,桜上水北自転車駐車場,東京都杉並区下高井戸１－２４－１５,35.66845492,139.6324425,24時間,100円,03-3303-1774,383,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/keio/1007429.html
39,富士見ヶ丘北自転車駐車場,東京都杉並区久我山５－１－２４,35.68499304,139.6069425,午前４時～午前１時３０分,100円,03-3332-7888,280,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007424.html
40,富士見ヶ丘南自転車駐車場,東京都杉並区高井戸西１－３２先,35.6834419,139.6079785,24時間,定期使用専用,03-3332-7888,298,http://www.city.suginami.tokyo.jp/shisetsu/jitensha/inokashira/1007425.html